axis,context,dataset,gold_answer,metadata,question,sample_id,supporting_facts
knowledge,,triviaqa,Eagle,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which word can be a golf term, a Space vehicle or a one time boy's comic?",sfq_15164,[]
knowledge,,triviaqa,Purple Heart,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What award is given for a wound in the American forces,bt_671,[]
knowledge,,triviaqa,SW19,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In which postcode area are the Wimbledon Championships held? SW15, SW17 or SW19?",qz_3903,[]
knowledge,,triviaqa,Bahrain,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Of which country is Manama the capital?,sfq_14351,[]
knowledge,,triviaqa,IMOLA,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Formula 1 - On which racetrack was the World Champion Ayrton Senna killed?,wh_2003,[]
knowledge,,triviaqa,NOVEMBER,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In the NATO alphabet, what word is used to denote the letter N?",sfq_3504,[]
knowledge,,triviaqa,Antarctica,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The Vinson Massif is the highest mountain of which continent?,sfq_2500,[]
knowledge,,triviaqa,Kiev,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In what European city was snooker player John Higgins stung by the News of the World newspaper relating to an alleged betting fix?,bb_969,[]
knowledge,,triviaqa,Wishbone,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the furcula of a bird more commonly called?,bb_8893,[]
knowledge,,triviaqa,RUSSIA,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In 1941, Iran was invaded by Britain and which other country?",odql_13299,[]
knowledge,,triviaqa,May,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""Which tree produces red fruits called """"haws""""?""",qw_6833,[]
knowledge,,triviaqa,Dr Pangloss,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which doctor - an eternal optimist – features in Voltaire’s Candide?,dpql_3621,[]
knowledge,,triviaqa,The Last Castle,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",James Gandolfini plays the sadistic military prison commandant Colonel Winter in which 2001 film starring Robert Redford?,qb_4289,[]
knowledge,,triviaqa,Uganda,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Major asshat Idi Amin Dada was the president of what African nation from 1971 to 1979?,qg_3056,[]
knowledge,,triviaqa,O HENRY,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",By what name was the American short-story writer William Sydney Porter better known?,odql_7581,[]
knowledge,,triviaqa,Alain Delon,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which French actor features on the cover on The Smiths album The Queen is Dead,bt_3299,[]
knowledge,,triviaqa,Wayne Sleep,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which dancer has only one notable film cameo, appearing with Sean Connery in the 1979 movie The First Great Train Robbery, breaking into a guarded station office.",qz_4575,[]
knowledge,,triviaqa,Halloween,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""In 1976 or 1977, John Carpenter and Debra Hill began drafting a story titled """"The Babysitter Murders"""", which eventually became what film?""",qw_14403,[]
knowledge,,triviaqa,Crimean War,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The Battle of Balaclava was in which war?,qw_7702,[]
knowledge,,triviaqa,OREGON,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which US State is nicknamed The Beaver State?,sfq_21214,[]
knowledge,,triviaqa,DB,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","As SNCF is the French railway system, what are the initials for the German Rail network?",sfq_25123,[]
knowledge,,triviaqa,Fred Perry,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who is the last English-born player to win the men's singles title at Wimbledon?,qz_1046,[]
knowledge,,triviaqa,'HAPPY EVER AFTER',"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Terry Scott starred as middle-aged, suburban husband, Terry Fletcher, in which television comedy series?",odql_6525,[]
knowledge,,triviaqa,Elizabeth Arden,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Canadian Florence Nightingale Graham dropped out of nursing school in Toronto and joined her elder brother in New York City, working as a bookkeeper for the E.R. Squibb Pharmaceuticals Company. By what name is she better known?",qw_5512,[]
knowledge,,triviaqa,Physics,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Scientist Ernest Rutherford once said all science is just what subject while comparing the rest to stamp collection?,tb_1933,[]
knowledge,,triviaqa,OHIO,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which American state shares borders with Michigan, Indiana, Kentucky, West Virginia and Pennsylvania?",odql_11589,[]
knowledge,,triviaqa,First day cover,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In stamp collecting, what do the initials F D C represent?",dpql_4600,[]
knowledge,,triviaqa,Beetles,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the more common name for the order Coleoptera which contains more species than any other order in the animal kingdom?,tb_2018,[]
knowledge,,triviaqa,James Stewart,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,tc_1181,[]
knowledge,,triviaqa,Costa Brava,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Lloret de Mar lies on which Spanish costa?,dpql_4975,[]
knowledge,,triviaqa,Bruce Jenner,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""Who won a gold medal at the 1976 Summer Olympics, married Kris Kardashian in 1991 and from 2007 starred in the E! reality series """"Keeping Up with the Kardashians""""?""",qw_4713,[]
knowledge,,triviaqa,Aleister Crowley,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""Who, an influential English occultist and ceremonial magician, known today for his magical writings, was a hedonist, bisexual, recreational drug experimenter and social critic, and was called in the popular press of the day """"the wickedest man in the world""""?""",qw_5775,[]
knowledge,,triviaqa,Robert Kiprono Cheruiyot,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Who won the 2010 Boston Marathon with a time of 2:05:52, easily breaking the course record of 2:07:14?",qw_5770,[]
knowledge,,triviaqa,1998,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",When was curling first played as a Winter Olympic sport?,qw_11513,[]
knowledge,,triviaqa,Burma,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The country Myanmar is still known in many parts of the world by what prior name?,bb_8875,[]
knowledge,,triviaqa,AS YOU LIKE IT,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which Shakespeare play is set in the Forest of Arden?,sfq_18289,[]
knowledge,,triviaqa,Bikini Atoll,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What atoll gained notoriety after the United States tested nuclear weapons there?,jp_3960,[]
knowledge,,triviaqa,Nicola Adams,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who was Britain’s first female Olympic boxing Gold medal winner?,qb_8387,[]
knowledge,,triviaqa,Shrub,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",George W Bush was given which diminutive herbaceous nickname?,dpql_4753,[]
knowledge,,triviaqa,Haitian revolution,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The 1938 work The Black Jacobins by C. L. R. James is an account of what upheaval that took place between 1791 and 1804?,tb_1235,[]
knowledge,,triviaqa,Heel bone,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What in the human body is the calcaneum?,bb_500,[]
knowledge,,triviaqa,Romeo and Juliet,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""What play is about """"star-crossed lovers""""?""",jp_968,[]
knowledge,,triviaqa,BASEBALL,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In which sport is April 15th celebrated as 'Jackie Robinson Day', to remember the day in 1947 when he became the first black player of the modern era?",odql_8247,[]
knowledge,,triviaqa,Winston Churchill,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which British politician became Member of Parliament for Epping in October 1924?,qb_622,[]
knowledge,,triviaqa,The river Fleet,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",After what is Fleet Street in London named?,dpql_1804,[]
knowledge,,triviaqa,Sally Ride,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who was the first female American astronaut?,sfq_14462,[]
knowledge,,triviaqa,Folic Acid,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What is an alternative name for vitamin B9, essential in promoting cell growth, particularly during pregnancy?",sfq_16069,[]
knowledge,,triviaqa,Mr Pilkington,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In the George Orwell novel ‘Animal Farm’ who is the owner of Foxwood Farm?,qb_9992,[]
knowledge,,triviaqa,Pain,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In medicine, algology is the study of what?",qb_2563,[]
knowledge,,triviaqa,Neighbours,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What TV show is set in the fictional Melbourne suburb of Erinsborough?,jp_2281,[]
knowledge,,triviaqa,Blue JEANS,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What item of clothing do you associate with a 1979 hit song from Neil Diamond?,dpql_3030,[]
knowledge,,triviaqa,Crane,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The demoiselle is a small variety of which wading bird?,dpql_3596,[]
knowledge,,triviaqa,1871-1909,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Give a year in the life of Irish playwright and poet John Millington Synge.,odql_11414,[]
knowledge,,triviaqa,Rose-Marie,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",'Indian Love Call' is a song from which 1924 operetta?,dpql_4846,[]
knowledge,,triviaqa,Iceland,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",‘Lofsongur’ is the national anthem of which country?,qb_766,[]
knowledge,,triviaqa,TOP HAT,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which token in a game of Monopoly was once known as Rich Uncle Pennybags?,wh_871,[]
knowledge,,triviaqa,Blade Runner,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which cult film, starring Harrison Ford, was based on the story Do Androids Dream of Electric Sheep?",qz_685,[]
knowledge,,triviaqa,Argentinean,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What nationality was Che Guevara,bt_763,[]
knowledge,,triviaqa,Knee jerk,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is a patellar reflex more commonly called,bt_2515,[]
knowledge,,triviaqa,Seattle,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which city is generally accepted as the birthplace of Grunge, a subgenre of alternative rock that emerged during the mid-1980s?",qw_14050,[]
knowledge,,triviaqa,Yellow,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The laburnum tree has what colour flowers?,sfq_22941,[]
knowledge,,triviaqa,Great Expectations,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which film, directed by David Lean and starring John Mills, opens with an escaped convict grabbing hold of a boy in a graveyard?",qw_3624,[]
knowledge,,triviaqa,GOLF,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In which sport may a 'Mulligan' be awarded?,odql_877,[]
knowledge,,triviaqa,Jeans,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In fashion Straight Cut, Boot Cut and Skinny are all types of what?",qb_4368,[]
knowledge,,triviaqa,William Shakespeare,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Mary Arden had a famous son. Who was he?,qf_2048,[]
knowledge,,triviaqa,1905,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In which year was the Juilliard School founded in New York?,tc_1798,[]
knowledge,,triviaqa,River Fleet,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which London river, now flowing underground, rises in Hampstead, flows through St. Pancras, down Farringdon Street and enters the Thames by Blackfriars Bridge?",qz_4540,[]
knowledge,,triviaqa,WICHITA,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which US city began as a trading post on the Chisholm Trail in the 1860’s and is now the largest city in Kansas?,sfq_25254,[]
knowledge,,triviaqa,The Turin Shroud,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What controversial relic went on display in 2010 in the Italian city whose name it bears?,bb_965,[]
knowledge,,triviaqa,The Library of Congress,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","From 1937 to 1942 Alan Lomax, who contributed more than 10,000 field recordings of folk music from the USA, the Caribbean, Ireland, Great Britain, Spain, and Italy, was Assistant in Charge of the Archive of Folk Song of what establishment?",qw_9364,[]
knowledge,,triviaqa,Farthing,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What old English coin took its name from being a quarter of a penny?,bb_6043,[]
knowledge,,triviaqa,WINSTON CHURCHILL,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which British Prime Minister married Clementine Hozier on September 12th 1908?,wh_1524,[]
knowledge,,triviaqa,1973,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",When was the current theme for the BBC television programme Top Gear first released on an album?,qw_10812,[]
knowledge,,triviaqa,W H AUDEN,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The Habit of Art is a play by Alan Bennett about a fictional meeting between Benjamin Britten and which poet?,odql_10134,[]
knowledge,,triviaqa,The Great Train Robbery,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What criminal offence took place in Cheddington, Buckinghamshire in August (8th) 1963?",qf_1615,[]
knowledge,,triviaqa,Carpe Diem,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""What Latin expression means """"Seize the Day""""?""",jp_3239,[]
knowledge,,triviaqa,The Isle of Skye,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",On which island are the Cuillin Hills?,qz_4565,[]
knowledge,,triviaqa,The Netherlands,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","March 30, 1853 saw the birth of one of the most influential painters of all time, Vincent van Gogh, in what European country?",qg_869,[]
knowledge,,triviaqa,Glasses,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What does someone need to wear if they are myopic?,jp_1642,[]
knowledge,,triviaqa,Go West,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The King of Wishful Thinking was a hit song used during the opening credits of the movie Pretty Woman. Who sang it?,qz_6128,[]
knowledge,,triviaqa,Haitian revolution,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The 1938 work The Black Jacobins by C. L. R. James is an account of what upheaval that took place between 1791 and 1804?,tb_1235,[]
knowledge,,triviaqa,Pa,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What is the symbol for the chemical element protactinium, atomic number 91?",dpql_2724,[]
knowledge,,triviaqa,Evelyn Glennie,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which Scottish percussionist born in 1965 has been deaf since the age of 12?,odql_13270,[]
knowledge,,triviaqa,Wye,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Tintern Abbey, made famous by Wordsworth’s poetry, stands on which river?",dpql_4687,[]
knowledge,,triviaqa,Colorado,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which river runs through The Grand Canyon,bt_307,[]
knowledge,,triviaqa,Yellow,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What colour is the liqueur Galliano?,qb_10149,[]
knowledge,,triviaqa,Duck,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What type of creature is a bufflehead?,qb_417,[]
knowledge,,triviaqa,George Orwell,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""Which writer is considered to have been the first to use the term """"cold war"""" in articles in 1945 and 1946?""",sfq_4762,[]
knowledge,,triviaqa,First daily newspaper,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""What was special about """"The Daily Courant"""" that appeared in the early 18th century?""",qw_3445,[]
knowledge,,triviaqa,Fosse Way,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which English road in Anglo-Saxon times went from Axminster via Bath, Cirencester, Leicester and Newark to Lincoln?",qw_16513,[]
knowledge,,triviaqa,Cuba,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",With what country did the United States re-establish diplomatic relations in 2015?,jp_4308,[]
knowledge,,triviaqa,Floyd Mayweather Sr,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which former US boxer is referred to as the ‘Poet laureate of boxing’?,qb_10020,[]
knowledge,,triviaqa,ZAMBIA,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which country defeated the Ivory Coast to win football's Africa Cup of Nations?,odql_2370,[]
knowledge,,triviaqa,Belgium,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Marc Dutroux hit the headlines over a 'house of horrors' in which country?,tc_1254,[]
knowledge,,triviaqa,GREGORIAN CALENDAR,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","When introduced into Britain in 1752, what caused a riot over eleven lost days?",sfq_2805,[]
knowledge,,triviaqa,THAILAND,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Chang Beer originates from which country?,sfq_17203,[]
knowledge,,triviaqa,Sherlock Holmes,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The 1887 novel A Study in Scarlet introduced what classic fictional character?,qg_1993,[]
knowledge,,triviaqa,Blue,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","The big-selling country and western hit song, notably by Elvis Presley in 1957, is '(What?) Christmas'?",bb_5302,[]
knowledge,,triviaqa,Hugh Quarshie,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""Who plays the part of Ric Griffin in TV's """"Holby City""""?""",sfq_9760,[]
knowledge,,triviaqa,Tallahassee,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the state capital of Florida?,qz_5520,[]
knowledge,,triviaqa,STEPTOE,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the surname of the father and son TV comedy characters with the first names Albert Edward Ladysmith and Harold Albert Kitchener?,odql_4450,[]
knowledge,,triviaqa,INDIAN OCEAN,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In which body of water are the Mascarene Islands?,sfq_25944,[]
knowledge,,triviaqa,SAN DIEGO,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Sea World is in Mission Bay Park in which US city?,odql_8420,[]
knowledge,,triviaqa,GEORGE IV,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Caroline of Brunswick was the queen consort of which British King?,wh_847,[]
knowledge,,triviaqa,'PARSIFAL',"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What was the name of the eponymous 'Knight of the Holy Grail' in an opera by Wagner?,odql_714,[]
knowledge,,triviaqa,Uncle Sam,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","By congressional resolution, Sam Wilson, of Troy, New York, a meat supplier for the Army during the War of 1812,is recognized as the progenitor of what famous American symbol?",qg_3591,[]
knowledge,,triviaqa,Eastern Mediterranean,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","The Levant, (deriving from 15th century French, lever, 'rising', relating to the Eastern sunrise) refers to what part of the world?",bb_1982,[]
knowledge,,triviaqa,Nightmarch,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What NZ thoroughbred racehorse, foaled in 1925 by the brood mare Marsa and the sire of Phar Lap, was the first horse to win both the Melbourne Cup and Cox Plate in the same year?",qw_15440,[]
knowledge,,triviaqa,BUTTERMERE,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which lake in the Lake District is separated from Crummock Water by a narrow alluvial flat?,sfq_12664,[]
knowledge,,triviaqa,THE MUEZZIN,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who in the Muslim faith proclaims the hours of prayer from a minaret?,odql_9667,[]
knowledge,,triviaqa,Bobby Brown,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who was married to Whitney Houston from 1992 to 2007?,qw_3681,[]
knowledge,,triviaqa,John Walsh,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","After 23 years on the air, America's Most Wanted will be winding down. Who has been the host of the series since its inception?",qg_1363,[]
knowledge,,triviaqa,Lactic acid,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What, alternatively called milk acid, is produced in the human body in power exercises?",bb_2899,[]
knowledge,,triviaqa,Carrefour,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which chain of European retailers began with a store near a crossroads in Annecy, France in 1958?",qb_7339,[]
knowledge,,triviaqa,Tenerife,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",On which island is Reina Sofia Airport?,sfq_893,[]
knowledge,,triviaqa,Under,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What word links take, write and stand",bt_2612,[]
knowledge,,triviaqa,Algiers,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the capital of Algeria,bt_434,[]
knowledge,,triviaqa,1812,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In what year did the War of 1812 start?,jp_2410,[]
knowledge,,triviaqa,Pegida,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the name of the German anti-Islamisation group that organised a march in Newcastle last month (March 2015)?,odql_583,[]
knowledge,,triviaqa,COBALT,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which element-atomic number 27- is named after the German wordfor 'goblin'?,odql_6732,[]
knowledge,,triviaqa,BILLIE HOLLIDAY,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Singer Eleonara Fagan was better known by what stage name?,odql_10257,[]
knowledge,,triviaqa,Sicily,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",On what island would you find the city of Palermo?,jp_1807,[]
knowledge,,triviaqa,James Blunt,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",‘Back to Bedlam’ was the debut album for which British singer?,qb_1235,[]
knowledge,,triviaqa,Mendips,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In which range of hills is the Cheddar Gorge?,sfq_23524,[]
